ID,Latitude,Longitude,City,State,Population,Zoo,Num of Zoos,Pet Shops,Num of Pet Shops,Light Rail,Num of Light Rails
22923,29.69106,-95.2091,Pasadena,TX,153784,No zoo found,0.0,PetSmart,2.0,Starbucks,9.0
22924,29.56357,-95.28605,Pearland,TX,108821,No zoo found,0.0,PetSmart,3.0,Starbucks,9.0
22925,29.62607,-95.73162,Pecan Grove,TX,15963,No zoo found,0.0,Petco,6.0,Starbucks,19.0
22926,30.43937,-97.62,Pflugerville,TX,57122,No zoo found,0.0,Petco,13.0,Donut Palace,29.0
22927,26.1948,-98.18362,Pharr,TX,76538,No zoo found,0.0,PetSmart,4.0,Starbucks,7.0
22928,33.01984,-96.69889,Plano,TX,283558,No zoo found,0.0,Petco,14.0,1418 Coffeehouse,63.0
22929,29.88519,-93.94233,Port Arthur,TX,55340,No zoo found,0.0,Petco,2.0,Starbucks,2.0
22930,27.87725,-97.32388,Portland,TX,16116,No zoo found,0.0,No BBQ found,0.0,Starbucks,1.0
22931,33.23623,-96.80111,Prosper,TX,15967,No zoo found,0.0,Hollywood Feed,5.0,Starbucks,21.0
22932,32.94818,-96.72972,Richardson,TX,110815,No zoo found,0.0,Petco,23.0,Starbucks,72.0
22933,32.93123,-96.45971,Rockwall,TX,42566,No zoo found,0.0,Petco,2.0,Starbucks,10.0
22934,29.55718,-95.80856,Rosenberg,TX,35510,No zoo found,0.0,Petco,2.0,Starbucks,7.0
22935,30.50826,-97.6789,Round Rock,TX,115997,No zoo found,0.0,PetSmart,19.0,Starbucks,42.0
22936,32.9029,-96.56388,Rowlett,TX,60236,No zoo found,0.0,PetSmart,7.0,Starbucks,21.0
22937,32.97623,-96.59527,Sachse,TX,24554,No zoo found,0.0,PetSmart,8.0,Starbucks,37.0
22938,32.86013,-97.36391,Saginaw,TX,22079,Fort Worth Zoo,1.0,Pet Supplies Plus,10.0,Starbucks,21.0
22939,29.42412,-98.49363,San Antonio,TX,1469845,San Antonio Zoo,1.0,Pet Wants San Antonio,6.0,Commonwealth Coffeehouse,40.0
22940,26.13258,-97.6311,San Benito,TX,24496,No zoo found,0.0,The Paw Pantry,2.0,Starbucks,2.0
22941,26.18924,-98.15529,San Juan,TX,36556,No zoo found,0.0,PetSmart,4.0,Starbucks,7.0
22942,29.88327,-97.94139,San Marcos,TX,60684,Texas Wildlife Petting Park,1.0,PetSmart,2.0,Stellar Cafe,8.0
22943,29.55217,-98.26973,Schertz,TX,43091,No zoo found,0.0,No BBQ found,0.0,Starbucks,8.0
22944,32.63958,-96.53832,Seagoville,TX,15894,No zoo found,0.0,No BBQ found,0.0,Starbucks,1.0
22945,29.56884,-97.96473,Seguin,TX,27864,No zoo found,0.0,Thunderpaws Canine Solutions,3.0,Seguin Coffee Company,3.0
22946,33.63566,-96.60888,Sherman,TX,40667,No zoo found,0.0,PetSmart,2.0,Starbucks,2.0
22947,29.66301,-95.23549,South Houston,TX,17544,Houston Zoo,1.0,PetSmart,3.0,Starbucks,9.0
22948,32.94124,-97.13418,Southlake,TX,29941,No zoo found,0.0,PetSmart,13.0,Starbucks,46.0
22949,30.07994,-95.41716,Spring,TX,54298,No zoo found,0.0,Natural Pawz,10.0,Starbucks,36.0
22950,29.61607,-95.55772,Stafford,TX,18459,No zoo found,0.0,Petco,9.0,The Prairie Table,31.0
22951,32.2207,-98.20226,Stephenville,TX,20120,No zoo found,0.0,No BBQ found,0.0,Starbucks,1.0
22952,29.61968,-95.63495,Sugar Land,TX,88156,No zoo found,0.0,PetSmart,6.0,Blendin,18.0
22953,33.13845,-95.60107,Sulphur Springs,TX,16098,No zoo found,0.0,No BBQ found,0.0,Starbucks,1.0
22954,30.57076,-97.40944,Taylor,TX,16702,No zoo found,0.0,No BBQ found,0.0,Starbucks,1.0
22955,31.09823,-97.34278,Temple,TX,72277,No zoo found,0.0,Petco,2.0,Starbucks,5.0
22956,32.73596,-96.27526,Terrell,TX,16981,No zoo found,0.0,No BBQ found,0.0,Starbucks,2.0
22957,33.42513,-94.04769,Texarkana,TX,37280,No zoo found,0.0,PetSmart,1.0,Starbucks,2.0
22958,29.38385,-94.9027,Texas City,TX,47618,No zoo found,0.0,BoneVoyage Pet Resort,2.0,Starbucks,8.0
22959,33.08901,-96.88639,The Colony,TX,41779,No zoo found,0.0,Petco,12.0,Starbucks,41.0
22960,30.15799,-95.48938,The Woodlands,TX,93847,No zoo found,0.0,Hollywood Feed,11.0,Conduit Coffee,23.0
22961,32.35126,-95.30106,Tyler,TX,103700,Caldwell Zoo,1.0,PetSmart,1.0,Starbucks,5.0
22962,29.54801,-98.29112,Universal City,TX,19986,No zoo found,0.0,No BBQ found,0.0,Starbucks,9.0
22963,32.85013,-96.80028,University Park,TX,24759,Dallas Zoo,2.0,Petco,17.0,Starbucks,59.0
22964,29.20968,-99.78617,Uvalde,TX,16476,No zoo found,0.0,Petsense,1.0,Starbucks,1.0
22965,28.80527,-97.0036,Victoria,TX,67574,Texas Zoo,1.0,PetSmart,1.0,Starbucks,1.0
22966,31.54933,-97.14667,Waco,TX,132356,Cameron Park Zoo,9.0,PetSmart,2.0,Magnolia Press Coffee Co.,9.0
22967,32.85791,-97.25474,Watauga,TX,24525,No zoo found,0.0,PetSmart,13.0,Starbucks,28.0
22968,32.38653,-96.84833,Waxahachie,TX,33384,No zoo found,0.0,Petco,1.0,Einstein's Bros Bagels,3.0
22969,32.7593,-97.79725,Weatherford,TX,28742,No zoo found,0.0,Pet Supplies Plus,2.0,Starbucks,4.0
22970,26.15952,-97.99084,Weslaco,TX,39474,No zoo found,0.0,Petco,1.0,Starbucks,1.0
22971,29.71801,-95.43383,West University Place,TX,15741,Houston Zoo,3.0,Petco,20.0,Starbucks,81.0
22972,32.75957,-97.45835,White Settlement,TX,17077,Fort Worth Zoo,1.0,Aquarums Tropical Fish,7.0,Starbucks,19.0
22973,33.91371,-98.49339,Wichita Falls,TX,104710,No zoo found,0.0,PetSmart,2.0,Frank & Joe's Coffee House,2.0
22974,33.01512,-96.53888,Wylie,TX,46708,No zoo found,0.0,PetSmart,5.0,Shoemaker & Hardt,20.0
23065,28.98276,-95.9694,Bay City,TX,17598,No zoo found,0.0,No BBQ found,0.0,No Light Rail found,0.0
23076,42.2942,-83.30993,Inkster,MI,24672,Taylor Petting Farm,1.0,Pet Supplies Plus,17.0,Tim Hortons,62.0
23509,41.89755,-84.03717,Adrian,MI,20691,No zoo found,0.0,Pet Supplies Plus,1.0,Tim Hortons,3.0
23510,42.25754,-83.21104,Allen Park,MI,27425,Taylor Petting Farm,1.0,Critter Pet Shop,20.0,Biggby Coffee,75.0
23511,42.97225,-85.95365,Allendale,MI,17579,No zoo found,0.0,Chow Hound Pet Supplies,1.0,Tim Hortons,10.0
23512,42.27756,-83.74088,Ann Arbor,MI,117070,No zoo found,0.0,Wags to Wiskers Pet Supplies,7.0,Comet Coffee,43.0
23513,42.68753,-83.2341,Auburn Hills,MI,22672,No zoo found,0.0,Petco,8.0,Starbucks,32.0
23514,42.3173,-85.17816,Battle Creek,MI,51589,Binder Park Zoo,1.0,Dog Zone,1.0,Biggby Coffee,1.0
23515,43.59447,-83.88886,Bay City,MI,33917,No zoo found,0.0,PetSmart,3.0,Starbucks,5.0
23516,42.50309,-83.18354,Berkley,MI,15268,Detroit Zoo,1.0,PetSmart,21.0,Biggby Coffee,62.0
23517,42.5467,-83.21132,Birmingham,MI,20857,Detroit Zoo,1.0,Teacups & Toys A Pet Boutique LLC,20.0,Starbucks Reserve,64.0
23518,42.99947,-83.61634,Burton,MI,28788,No zoo found,0.0,Magoo's,6.0,Biggby Coffee,17.0
23519,42.30865,-83.48216,Canton,MI,86825,No zoo found,0.0,Petco,7.0,Tim Hortons,42.0
23520,42.58698,-82.91992,Clinton Township,MI,99753,No zoo found,0.0,Petco,8.0,Tim Hortons,24.0
23521,42.32226,-83.17631,Dearborn,MI,95171,Taylor Petting Farm,1.0,PetSmart,25.0,Starbucks,104.0
23522,42.33698,-83.27326,Dearborn Heights,MI,56145,Taylor Petting Farm,1.0,Pet Supplies Plus,15.0,Tim Hortons,59.0
23523,42.33143,-83.04575,Detroit,MI,677116,Belle Isle Nature Center,1.0,Premier Pet Supply,23.0,Roasting Plant,93.0
23524,42.73698,-84.48387,East Lansing,MI,48471,Potter Park Zoo,1.0,Petco,11.0,Foster Coffee,43.0
23525,42.46837,-82.95547,Eastpointe,MI,32657,Belle Isle Nature Center,2.0,Petco,10.0,Tim Hortons,46.0
23526,42.48531,-83.37716,Farmington Hills,MI,81330,No zoo found,0.0,Pristine Pets,19.0,Tim Hortons,50.0
23527,42.46059,-83.13465,Ferndale,MI,20177,Detroit Zoo,1.0,Maestro's Dog Haus,19.0,Tim Hortons,73.0
23528,43.01253,-83.68746,Flint,MI,98310,No zoo found,0.0,Magoo's,6.0,Starbucks,19.0
